N,P,K,temperature,humidity,ph,rainfall,label
90,42,50,22.5,80,6.5,200,rice
85,58,40,25.0,75,6.8,180,maize
60,30,70,20.0,85,6.2,220,chickpea
78,50,60,23.0,78,6.4,210,lentil
92,45,55,24.5,82,6.7,190,banana
70,30,40,21.0,70,6.0,150,wheat
65,40,55,26.0,65,6.3,160,sorghum
75,55,45,27.5,72,6.4,175,cotton
80,35,50,24.0,80,6.1,200,potato
88,48,58,23.5,77,6.3,185,tomato
95,60,65,29.0,85,6.2,230,cucumber
72,38,52,24.0,73,6.5,190,onion
64,44,48,26.0,76,6.4,160,pulse
81,39,53,30.0,79,6.3,210,mustard
90,50,55,28.0,82,6.6,205,sugarcane
77,33,60,22.0,75,6.8,180,sunflower
89,15,15,25.0,78,6.5,170,millet
82,10,10,27.0,70,6.7,200,cabbage
93,20,20,23.0,68,6.2,220,pumpkin
86,25,25,21.0,72,6.1,215,zucchini
